meeting_id,race_id,race_date,track,race_time,race_class,race_distance,race_prizes,position,trap,dog_id,dog_name,trainer,comments,starting_price,time_s,time_distance,birth_date,weight,color,sire,dam,breeding_info,race_url
430522,1133298,Saturday 31st May 2025,Towcester,20:06,OR2,500m,1st £300 | Others £60 Race Total £600,6th,5,639790,Gingers Shelby,P J Browne,"Mid,VQAw,LedTo3,Crd4",20/1,4.02,29.55 (1/2),Jun-2022,33.1,d - bd,Good News,Magical Gem,Jun-2022 | 33.1 | d - bd | Good News - Magical Gem,https://www.gbgb.org.uk/meeting/?meetingId=430522&raceId=1133298
430852,1134937,Saturday 7th June 2025,Towcester,20:57,OR2,500m,1st £300 | Others £60 Race Total £600,1st,3,643081,Scooby The Boss,N J Hunt,"RlsTMid,VQAw,ALed",6/1,4.03,28.84 (4),Nov-2022,31.7,d - bk,Ballymac Bolger,Scooby Princess,Nov-2022 | 31.7 | d - bk | Ballymac Bolger - Scooby Princess,https://www.gbgb.org.uk/meeting/?meetingId=430852&raceId=1134937
430852,1134937,Saturday 7th June 2025,Towcester,20:57,OR2,500m,1st £300 | Others £60 Race Total £600,2nd,5,648405,Deliverooo,T C Heilbron,"Wide,EP",12/1,4.04,29.17 (4),May-2023,31.1,d - bk,Ballymac Bolger,Dolce Vita,May-2023 | 31.1 | d - bk | Ballymac Bolger - Dolce Vita,https://www.gbgb.org.uk/meeting/?meetingId=430852&raceId=1134937
430852,1134937,Saturday 7th June 2025,Towcester,20:57,OR2,500m,1st £300 | Others £60 Race Total £600,3rd,4,247097,The Other Boss,C Weatherall,"RlsTMid,SAw,Crd1,FinWell",20/1,4.17,29.20 (1/2),Nov-2022,34.1,d - bk,Ballymac Bolger,Scooby Princess,Nov-2022 | 34.1 | d - bk | Ballymac Bolger - Scooby Princess,https://www.gbgb.org.uk/meeting/?meetingId=430852&raceId=1134937
430852,1134937,Saturday 7th June 2025,Towcester,20:57,OR2,500m,1st £300 | Others £60 Race Total £600,4th,6,650981,Ballymac Tibet,L Dowling,"Mid,RanOn",7/1,4.09,29.22 (HD),Aug-2023,33.4,d - bd,Ballymac Best,Ballymac Minton,Aug-2023 | 33.4 | d - bd | Ballymac Best - Ballymac Minton,https://www.gbgb.org.uk/meeting/?meetingId=430852&raceId=1134937
430852,1134937,Saturday 7th June 2025,Towcester,20:57,OR2,500m,1st £300 | Others £60 Race Total £600,5th,1,643058,Val Tashadelek,G D Holland,"MsdBrk,Crd1,FcdTCk2,RnOn",8/15F,4.24,29.30 (1),Oct-2022,35.3,d - bk,Dorotas Wildcat,Tic Tock Lizzy,Oct-2022 | 35.3 | d - bk | Dorotas Wildcat - Tic Tock Lizzy,https://www.gbgb.org.uk/meeting/?meetingId=430852&raceId=1134937
430852,1134937,Saturday 7th June 2025,Towcester,20:57,OR2,500m,1st £300 | Others £60 Race Total £600,6th,2,639273,Salacres Senan,P H Harnden,"MidTRls,EP",6/1,4.13,29.40 (1 1/4),Jul-2022,36.1,d - be,Ballymac Kingdom,Ballymac Diva,Jul-2022 | 36.1 | d - be | Ballymac Kingdom - Ballymac Diva,https://www.gbgb.org.uk/meeting/?meetingId=430852&raceId=1134937
427671,1119402,Sunday 6th April 2025,Sheffield,16:42,OR1,500m,1st £400 | Others £70 Race Total £750,1st,3,650985,Droopys Trade,P Janssens,"QAw,SnClear",4/5F,4.18,28.73 (5 3/4),Jul-2023,36.5,d - bk,Droopys Sydney,Droopys Alice,Jul-2023 | 36.5 | d - bk | Droopys Sydney - Droopys Alice,https://www.gbgb.org.uk/meeting/?meetingId=427671&raceId=1119402
427671,1119402,Sunday 6th April 2025,Sheffield,16:42,OR1,500m,1st £400 | Others £70 Race Total £750,2nd,5,647943,Romeo Tomcat,P Janssens,"CrdRnUp&2,Bmp1",5/4,4.31,29.20 (5 3/4),Jun-2023,35.1,d - bd,Dorotas Wildcat,Fabulous Spirit,Jun-2023 | 35.1 | d - bd | Dorotas Wildcat - Fabulous Spirit,https://www.gbgb.org.uk/meeting/?meetingId=427671&raceId=1119402
427671,1119402,Sunday 6th April 2025,Sheffield,16:42,OR1,500m,1st £400 | Others £70 Race Total £750,3rd,6,646493,Newinn Deputy,R Taberner,CrdRnUp&2,20/1,4.4,29.39 (2 1/2),May-2023,33.7,d - bk,Droopys Sydney,Newinn Cuckoo,May-2023 | 33.7 | d - bk | Droopys Sydney - Newinn Cuckoo,https://www.gbgb.org.uk/meeting/?meetingId=427671&raceId=1119402
427671,1119402,Sunday 6th April 2025,Sheffield,16:42,OR1,500m,1st £400 | Others £70 Race Total £750,4th,2,650975,Glengar Lisa,T C Heilbron,ClearRun,33/1,4.27,29.45 (3/4),Oct-2023,28.2,b - f,Deerjet Sydney,Ambey Bamby,Oct-2023 | 28.2 | b - f | Deerjet Sydney - Ambey Bamby,https://www.gbgb.org.uk/meeting/?meetingId=427671&raceId=1119402
427671,1119402,Sunday 6th April 2025,Sheffield,16:42,OR1,500m,1st £400 | Others £70 Race Total £750,5th,1,650601,Hardy Bucko,J Gray,"Bmp1,Crd2",9/1,4.32,29.62 (2),Jul-2023,30.2,d - bk,Pat C Sabbath,Ballymac Natalie,Jul-2023 | 30.2 | d - bk | Pat C Sabbath - Ballymac Natalie,https://www.gbgb.org.uk/meeting/?meetingId=427671&raceId=1119402
427671,1119402,Sunday 6th April 2025,Sheffield,16:42,OR1,500m,1st £400 | Others £70 Race Total £750,6th,4,649594,Doyouloveher,J Gray,Crd1&2,33/1,4.39,29.79 (2 1/4),Aug-2023,29.6,d - bk,Burgess Bucks,Antigua Lava,Aug-2023 | 29.6 | d - bk | Burgess Bucks - Antigua Lava,https://www.gbgb.org.uk/meeting/?meetingId=427671&raceId=1119402
428057,1121191,Sunday 13th April 2025,Sheffield,16:42,OR1,500m,1st £450 | Others £90 Race Total £900,1st,1,650526,Romeo Ability,P Janssens,"EP,SnLd",8/15F,4.21,29.00 (3 3/4),Oct-2023,34.0,d - bkw,Romeo Magico,Fabulous Mila,Oct-2023 | 34.0 | d - bkw | Romeo Magico - Fabulous Mila,https://www.gbgb.org.uk/meeting/?meetingId=428057&raceId=1121191
428057,1121191,Sunday 13th April 2025,Sheffield,16:42,OR1,500m,1st £450 | Others £90 Race Total £900,2nd,2,651011,Elusivenomore,J J Fenwick,Bmp 1/4,13/8,4.32,29.30 (3 3/4),Aug-2023,34.0,d - f,Ballymac Best,Ballymac Ariel,Aug-2023 | 34.0 | d - f | Ballymac Best - Ballymac Ariel,https://www.gbgb.org.uk/meeting/?meetingId=428057&raceId=1121191
428057,1121191,Sunday 13th April 2025,Sheffield,16:42,OR1,500m,1st £450 | Others £90 Race Total £900,3rd,4,646493,Newinn Deputy,R Taberner,"SAw,ClrRun",20/1,4.4,29.40 (1 1/4),May-2023,33.6,d - bk,Droopys Sydney,Newinn Cuckoo,May-2023 | 33.6 | d - bk | Droopys Sydney - Newinn Cuckoo,https://www.gbgb.org.uk/meeting/?meetingId=428057&raceId=1121191
428057,1121191,Sunday 13th April 2025,Sheffield,16:42,OR1,500m,1st £450 | Others £90 Race Total £900,4th,3,650975,Glengar Lisa,T C Heilbron,"Bmp 1/4,Crd3",33/1,4.29,29.58 (2 1/4),Oct-2023,28.2,b - f,Deerjet Sydney,Ambey Bamby,Oct-2023 | 28.2 | b - f | Deerjet Sydney - Ambey Bamby,https://www.gbgb.org.uk/meeting/?meetingId=428057&raceId=1121191
428057,1121191,Sunday 13th April 2025,Sheffield,16:42,OR1,500m,1st £450 | Others £90 Race Total £900,5th,6,204910,Dominoh Hoo Hoo,T C Heilbron,ClrRun,20/1,4.25,29.66 (1),May-2023,27.1,b - bk,Ballymac Bolger,Dolce Vita,May-2023 | 27.1 | b - bk | Ballymac Bolger - Dolce Vita,https://www.gbgb.org.uk/meeting/?meetingId=428057&raceId=1121191
428057,1121191,Sunday 13th April 2025,Sheffield,16:42,OR1,500m,1st £450 | Others £90 Race Total £900,6th,5,650395,Brinkleys Loulou,T C Heilbron,"SAw,Crd3",20/1,4.42,29.85 (2 1/4),Aug-2023,29.0,b - bk,Malachi,Droopys Hunch,Aug-2023 | 29.0 | b - bk | Malachi - Droopys Hunch,https://www.gbgb.org.uk/meeting/?meetingId=428057&raceId=1121191
428373,1122633,Friday 18th April 2025,Sunderland,19:41,OR,450m,1st £350 | Others £100 Race Total £850,1st,5,648809,Bombay Fantasy,D Calvert,"MidToWide,Led 3/4",3/1,5.02,27.21 (1 1/4),May-2023,33.3,d - bk,Burgess Bucks,Cosy Trend,May-2023 | 33.3 | d - bk | Burgess Bucks - Cosy Trend,https://www.gbgb.org.uk/meeting/?meetingId=428373&raceId=1122633
428373,1122633,Friday 18th April 2025,Sunderland,19:41,OR,450m,1st £350 | Others £100 Race Total £850,2nd,1,650975,Glengar Lisa,T C Heilbron,"RlsToMid,Crd1,RanOn",4/1,5.07,27.32 (1 1/4),Oct-2023,28.0,b - f,Deerjet Sydney,Ambey Bamby,Oct-2023 | 28.0 | b - f | Deerjet Sydney - Ambey Bamby,https://www.gbgb.org.uk/meeting/?meetingId=428373&raceId=1122633
428373,1122633,Friday 18th April 2025,Sunderland,19:41,OR,450m,1st £350 | Others £100 Race Total £850,3rd,4,647647,Droopys Artilery,S R Parker,"Mid,Led1To 3/4",10/11F,4.99,27.41 (1 1/4),Aug-2023,34.1,d - bk,Dorotas Wildcat,Droopys Alyssa,Aug-2023 | 34.1 | d - bk | Dorotas Wildcat - Droopys Alyssa,https://www.gbgb.org.uk/meeting/?meetingId=428373&raceId=1122633
428373,1122633,Friday 18th April 2025,Sunderland,19:41,OR,450m,1st £350 | Others £100 Race Total £850,4th,3,650020,Surprise Blue,G A Stark,"Mid,Bmp1",10/1,5.03,27.55 (1 3/4),May-2023,32.0,d - be,Our Surprise,Mays Priceless,May-2023 | 32.0 | d - be | Our Surprise - Mays Priceless,https://www.gbgb.org.uk/meeting/?meetingId=428373&raceId=1122633
428373,1122633,Friday 18th April 2025,Sunderland,19:41,OR,450m,1st £350 | Others £100 Race Total £850,5th,2,650686,Rebel Columbus,D Blackbird,"Mid,Bmp1",6/1,5.08,27.77 (2 3/4),Jun-2023,36.0,d - bd,Justice Minister,Cherish Me,Jun-2023 | 36.0 | d - bd | Justice Minister - Cherish Me,https://www.gbgb.org.uk/meeting/?meetingId=428373&raceId=1122633
432498,1142569,Sunday 6th July 2025,Towcester,14:33,OR1,500m,1st £300 | Others £60 Race Total £600,1st,5,655032,Crossfield Roger,P W Young,"Mid,QAw,ALed",5/1,4.14,29.17 (2 1/4),Aug-2023,34.2,d - bk,Droopys Sydney,Crossfield Linda,Aug-2023 | 34.2 | d - bk | Droopys Sydney - Crossfield Linda,https://www.gbgb.org.uk/meeting/?meetingId=432498&raceId=1142569
432498,1142569,Sunday 6th July 2025,Towcester,14:33,OR1,500m,1st £300 | Others £60 Race Total £600,2nd,4,652000,Toomuchchat,K P Boon,"RlsTMid,EP",9/2,4.15,29.36 (2 1/4),Jan-2024,35.4,d - bk,Grangeview Ten,Cockyorconfident,Jan-2024 | 35.4 | d - bk | Grangeview Ten - Cockyorconfident,https://www.gbgb.org.uk/meeting/?meetingId=432498&raceId=1142569
432498,1142569,Sunday 6th July 2025,Towcester,14:33,OR1,500m,1st £300 | Others £60 Race Total £600,3rd,2,650975,Glengar Lisa,T C Heilbron,"RlsTMid,SAw",7/2,4.26,29.68 (4),Oct-2023,28.8,b - f,Deerjet Sydney,Ambey Bamby,Oct-2023 | 28.8 | b - f | Deerjet Sydney - Ambey Bamby,https://www.gbgb.org.uk/meeting/?meetingId=432498&raceId=1142569
432498,1142569,Sunday 6th July 2025,Towcester,14:33,OR1,500m,1st £300 | Others £60 Race Total £600,4th,1,652783,Patricias Gift,P W Young,"RlsTMid,FcdTCk1",4/5F,4.19,29.87 (2 1/2),Sep-2023,33.5,d - bdw,Ballyhimikin Jet,Abbeyside Megzy,Sep-2023 | 33.5 | d - bdw | Ballyhimikin Jet - Abbeyside Megzy,https://www.gbgb.org.uk/meeting/?meetingId=432498&raceId=1142569
432690,1143755,Sunday 13th July 2025,Towcester,15:29,OR1,500m,1st £300 | Others £75 Race Total £675,1st,5,653065,Not So Steady,P Janssens,"Mid,QAw,ALed",11/8F,4.16,29.10 (3 1/2),Sep-2023,35.8,d - wbe,Ballymac Bolger,Not So Hotshot,Sep-2023 | 35.8 | d - wbe | Ballymac Bolger - Not So Hotshot,https://www.gbgb.org.uk/meeting/?meetingId=432690&raceId=1143755
432690,1143755,Sunday 13th July 2025,Towcester,15:29,OR1,500m,1st £300 | Others £75 Race Total £675,2nd,4,648179,Santas Amigo,D Mullins,"MidTRls,EP,A2nd",6/4,4.2,29.38 (3 1/2),Sep-2023,36.1,d - be,Ballymac Best,Santas Jet,Sep-2023 | 36.1 | d - be | Ballymac Best - Santas Jet,https://www.gbgb.org.uk/meeting/?meetingId=432690&raceId=1143755
432690,1143755,Sunday 13th July 2025,Towcester,15:29,OR1,500m,1st £300 | Others £75 Race Total £675,3rd,6,648976,Bowmers Wildcat,P W Young,"Mid,EP",4/1,4.25,29.62 (3),Aug-2023,30.4,d - bk,Dorotas Wildcat,Droopys Alyssa,Aug-2023 | 30.4 | d - bk | Dorotas Wildcat - Droopys Alyssa,https://www.gbgb.org.uk/meeting/?meetingId=432690&raceId=1143755
432690,1143755,Sunday 13th July 2025,Towcester,15:29,OR1,500m,1st £300 | Others £75 Race Total £675,4th,1,654546,Alans Amigo,P W Young,RlsTMid,18/1,4.25,29.81 (2 1/4),Oct-2023,32.9,d - bd,Dorotas Wildcat,Coolavanny Nanni,Oct-2023 | 32.9 | d - bd | Dorotas Wildcat - Coolavanny Nanni,https://www.gbgb.org.uk/meeting/?meetingId=432690&raceId=1143755
432690,1143755,Sunday 13th July 2025,Towcester,15:29,OR1,500m,1st £300 | Others £75 Race Total £675,5th,2,650975,Glengar Lisa,T C Heilbron,"MidTRls,Crd1&2",18/1,4.24,30.04 (3),Oct-2023,28.3,b - f,Deerjet Sydney,Ambey Bamby,Oct-2023 | 28.3 | b - f | Deerjet Sydney - Ambey Bamby,https://www.gbgb.org.uk/meeting/?meetingId=432690&raceId=1143755
432690,1143755,Sunday 13th July 2025,Towcester,15:29,OR1,500m,1st £300 | Others £75 Race Total £675,6th,3,651024,Droopys Poker,K Billingham-hine,"MidRls,SAw,Crd1&2,FcdTCk3",7/1,4.3,30.07 (NK),Oct-2023,33.5,d - bd,Ballyhimikin Jet,Droopys Gifted,Oct-2023 | 33.5 | d - bd | Ballyhimikin Jet - Droopys Gifted,https://www.gbgb.org.uk/meeting/?meetingId=432690&raceId=1143755
429490,1127988,Friday 9th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £60 Race Total £540,1st,1,648824,Sole Mio,P Cronin,"MidTRls,QAw,ALed",6/1,4.1,29.02 (1/2),Jun-2023,33.8,d - be,Coolavanny Hoffa,Palermo,Jun-2023 | 33.8 | d - be | Coolavanny Hoffa - Palermo,https://www.gbgb.org.uk/meeting/?meetingId=429490&raceId=1127988
429490,1127988,Friday 9th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £60 Race Total £540,2nd,6,636663,March On Freddie,D Mullins,"Wide,FinWell",2/5F,4.21,29.07 (1/2),Sep-2022,36.7,d - bk,Dorotas Wildcat,Seaglass Shadow,Sep-2022 | 36.7 | d - bk | Dorotas Wildcat - Seaglass Shadow,https://www.gbgb.org.uk/meeting/?meetingId=429490&raceId=1127988
429490,1127988,Friday 9th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £60 Race Total £540,3rd,4,650980,Flashing Fender,C R Morris,"Middle,EP",28/1,4.11,29.29 (2 3/4),Aug-2023,33.0,d - bk,Ballymac Best,Ballymac Ariel,Aug-2023 | 33.0 | d - bk | Ballymac Best - Ballymac Ariel,https://www.gbgb.org.uk/meeting/?meetingId=429490&raceId=1127988
429490,1127988,Friday 9th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £60 Race Total £540,4th,3,642411,Fabulous Aria,P Janssens,"RlsTMid,SAw,RanOn",6/1,4.27,29.34 (3/4),Jan-2023,30.1,b - bk,Magical Bale,Fabulous Skylar,Jan-2023 | 30.1 | b - bk | Magical Bale - Fabulous Skylar,https://www.gbgb.org.uk/meeting/?meetingId=429490&raceId=1127988
429490,1127988,Friday 9th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £60 Race Total £540,5th,2,644913,Burrows Charm,J J Heath,"RlsTMid,FcdTCk2",7/1,4.18,29.57 (2 3/4),Sep-2022,32.9,d - dkbd,Vulturi,Seomra Oreo,Sep-2022 | 32.9 | d - dkbd | Vulturi - Seomra Oreo,https://www.gbgb.org.uk/meeting/?meetingId=429490&raceId=1127988
429886,1129821,Friday 16th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £75 Race Total £675,1st,1,645773,Droopys Bookem,T C Heilbron,"RlsTMid,EP,LedRnIn",7/4,4.1,29.12 (1),Nov-2022,33.9,d - be,Droopys Sydney,Droopys Sweet,Nov-2022 | 33.9 | d - be | Droopys Sydney - Droopys Sweet,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129821
429886,1129821,Friday 16th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £75 Race Total £675,2nd,2,648361,Droopys Aladdin,M A Burton,"RlsTMid,EP,SnLed-RnIn",4/5F,4.06,29.21 (1),Jul-2023,31.8,d - wbk,Serene Ace,Droopys Natalia,Jul-2023 | 31.8 | d - wbk | Serene Ace - Droopys Natalia,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129821
429886,1129821,Friday 16th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £75 Race Total £675,3rd,5,650980,Flashing Fender,C R Morris,"Mid,EP",18/1,4.09,29.42 (2 3/4),Aug-2023,33.0,d - bk,Ballymac Best,Ballymac Ariel,Aug-2023 | 33.0 | d - bk | Ballymac Best - Ballymac Ariel,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129821
429886,1129821,Friday 16th May 2025,Towcester,20:22,OR1,500m,1st £300 | Others £75 Race Total £675,4th,6,648555,Brinkleys Louis,T C Heilbron,"MidTW,EP",12/1,4.15,29.50 (1),Apr-2023,31.2,d - bk,Grangeview Ten,Innfield Daisy,Apr-2023 | 31.2 | d - bk | Grangeview Ten - Innfield Daisy,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129821
