dogId,dogName,SP,resultPosition,resultBtnDistance,resultSectionalTime,resultComment,resultRunTime,resultDogWeight,winnerOr2ndName,winnerOr2ndId,resultAdjustedTime,trapNumber,raceTime,raceDate,raceId,raceNumber,raceType,raceClass,raceDistance,raceGoing,raceWinTime,meetingId,trackName,trainerName,ownerName
600001,,11/4,5,3/4,04.37,"Mid,Crd,FcdToCk3,Crd4",31.10,36.5,Savana Rum,530175,31.00,3,20:03:00,30/05/2022,845510,,Flat,A4,500.0,-10,30.39,385669,Towcester,,
600001,,15/8F,4,1,04.45,"RlsToMid,Crd1&2",30.43,36.1,Savana Honey,585770,30.53,2,18:33:00,23/05/2022,843582,,Flat,A4,500.0,10,29.69,385457,Towcester,,
600001,,1/1F,3,1/2,04.35,"MidTRls,RanOn",30.22,35.8,Kayleigh,587335,30.32,3,21:28:00,17/05/2022,841767,,Flat,A4,500.0,10,29.99,385232,Towcester,,
600001,,9/4F,4,1 1/2,04.39,"RlsToMid,CrdWide1",30.64,35.5,Marcos Flash,544998,30.64,3,11:09:00,12/05/2022,840489,,Flat,A3,500.0,0,30.39,385077,Towcester,,
600001,,,2,4 1/4,04.48,"RlsToMid,SAw,RanOn",30.39,35.7,Cyclone Sydney,554003,30.49,1,,28/04/2022,837081,,Flat,T3,500.0,10,30.05,384645,Towcester,,
600001,,9/4,1,,04.42,"MidTRls,SAw,FinWll,LdRnIn",30.35,35.4,Unlikely Jacko,592239,30.45,2,18:33:00,11/04/2022,831930,,Flat,A3,500.0,10,30.35,384080,Towcester,,
600001,,,1,,,RlsTMid,16.61,35.6,,,16.51,1,,04/04/2022,830436,,Flat,T1,270.0,-10,16.61,383844,Towcester,,
600001,,9/2,6,DIS,04.37,BCrd&Fell1,,35.7,Perfecto String,589318,,1,15:11:00,27/03/2022,827103,,Flat,OR,500.0,0,30.15,383476,Towcester,,
600001,,11/4F,4,1,04.37,"RlsToMid,RanOn",30.69,35.7,Salacres Sadie,552122,30.59,2,12:54:00,17/03/2022,824777,,Flat,A2,500.0,-10,30.19,383242,Towcester,,
600001,,9/4JF,1,,04.24,"RlsTMid,EP,Ld2",30.24,35.9,Glory Liz,582200,30.24,2,15:48:00,12/03/2022,822926,,Flat,A3,500.0,0,30.24,383007,Towcester,,
600001,,8/1,5,1/2,04.42,"Rls,Crd2",31.08,36.0,Nolas Beauty,546955,30.88,2,14:32:00,06/03/2022,820983,,Flat,OR,500.0,-20,30.49,382785,Towcester,,
600001,,14/1,3,6 1/2,04.48,"RlsTMid,Crd2",30.41,35.7,Miss Big Pants,593089,30.41,1,15:11:00,27/02/2022,818426,,Flat,OR,500.0,0,29.87,382491,Towcester,,
600001,,,2,3,04.35,MidTRls,30.83,35.7,Kuwaiti King,549945,30.63,2,,22/02/2022,818789,,Flat,T3,500.0,-20,30.59,382520,Towcester,,
600001,,,1,5,,"Mid,ALed",16.21,35.9,Tuftys Tiny,553672,16.26,3,,17/02/2022,817551,,Flat,T3,270.0,5,16.21,382339,Towcester,,
600001,,,1,,,MidToRls,16.21,35.4,,,16.36,3,,10/02/2022,815638,,Flat,T1,270.0,15,16.21,382153,Towcester,,
600001,,,0,,,(Handslip),,35.2,,,,0,,03/02/2022,813718,,Flat,T1,100.0,,,381922,Towcester,,
600002,,14/1,6,2 1/4,,"SlowAw,Rails,Crowded1",16.48,26.1,Ardfield Ace,551857,16.48,3,15:38:00,22/02/2023,916419,,Flat,D3,264.0,0,15.91,394337,Monmore,,
600002,,15/8JF,2,3 3/4,,"Rls,EvCh",16.05,26.2,Weston Kimberley,543946,16.15,2,15:11:00,10/02/2023,913001,,Flat,D3,264.0,10,15.74,393957,Monmore,,
600002,,4/1,2,3/4,,"QuickAway,Rails,LedToNrLn",16.21,26.2,Crackaway Willow,542133,16.21,2,15:18:00,31/01/2023,909932,,Flat,D3,264.0,0,16.14,393600,Monmore,,
600002,,4/1,2,2 1/2,,"Rails,EveryChance",16.14,26.8,Gainstown Stunt,546149,16.04,1,15:02:00,24/01/2023,908092,,Flat,D3,264.0,-10,15.93,393390,Monmore,,
600002,,2/1F,3,1/2,,"Rails,EveryChance",16.26,27.2,Footfield Falcon,548032,16.06,3,14:42:00,16/01/2023,906138,,Flat,D3,264.0,-20,16.02,393150,Monmore,,
600002,,14/1,6,3 1/2,,"SAw,Crd1",16.50,27.5,El Prez Wolfe,622850,16.40,1,14:42:00,02/01/2023,902143,,Flat,D3,264.0,-10,15.80,392653,Monmore,,
600002,,6/1,2,1 1/2,,"Rls,Crd1,RanOn",16.60,27.5,You Little Chara,582311,16.20,1,18:48:00,17/12/2022,898955,,Flat,D3,264.0,-40,16.47,392289,Monmore,,
600002,,12/1,6,1 1/2,,"MissedBrk,Rls",16.65,27.6,Pennys Ollie,609324,16.40,1,14:42:00,13/12/2022,897744,,Flat,D3,264.0,-25,15.88,392148,Monmore,,
600002,,6/1,3,4,,"Rls,Crd1",16.35,27.3,Flyhigh Barny,605674,16.30,1,14:32:00,02/12/2022,895057,,Flat,D3,264.0,-5,15.92,391782,Monmore,,
600002,,7/1,6,1/2,,MsdBrk,16.22,27.3,Mo Cara Cheyenne,584564,16.22,2,14:42:00,21/11/2022,891909,,Flat,D3,264.0,0,15.81,391410,Monmore,,
600002,,6/1,3,2 1/4,,"Rls,Crd1",16.04,27.1,Eire Darci,613432,16.09,1,15:58:00,15/11/2022,890327,,Flat,D3,264.0,5,15.86,391204,Monmore,,
600002,,9/1,6,1 3/4,,"SAw,Rails,Crd1",16.43,27.2,Heistheboy,600535,16.33,2,15:58:00,09/11/2022,888783,,Flat,D3,264.0,-10,15.89,390991,Monmore,,
600002,,3/1,3,HD,,"EP,Rls,EvCh",16.32,27.1,Desert Citi,549910,16.32,1,18:58:00,04/11/2022,887612,,Flat,D3,264.0,0,16.02,390857,Monmore,,
600002,,12/1,3,2 3/4,,"EP,Rls,Crd 1/2",16.28,26.8,Kooga Konnichiwa,610078,16.28,1,18:48:00,08/10/2022,879962,,Flat,D3,264.0,0,15.88,389934,Monmore,,
600002,,6/1,6,2 1/4,,"Rls,Crd1",16.75,27.2,Theocles,594026,16.70,1,14:23:00,26/09/2022,876376,,Flat,D3,264.0,-5,16.20,389494,Monmore,,
600002,,5/1,5,1 3/4,,"MsdBrk,Rls,Crd 1/2",16.62,27.0,Eire Marko,589209,16.57,1,14:12:00,16/09/2022,874061,,Flat,D3,264.0,-5,15.92,389193,Monmore,,
600002,,11/4,2,1,,"QAw,Rls,LedToNrLine",16.23,26.5,Winterfield Eddy,612011,16.23,1,18:48:00,03/09/2022,870645,,Flat,D3,264.0,0,16.15,388773,Monmore,,
600002,,9/2,3,1,,"Rls,EvCh",16.28,26.7,Da Donn,591642,16.13,1,14:07:00,29/08/2022,869030,,Flat,D3,264.0,-15,16.00,388588,Monmore,,
600002,,,0,,,,,,,,,1,,23/08/2022,868021,,Flat,T1,264.0,-20,16.09,388425,Monmore,,
600002,,,2,SH,,"QAw,Rls,LedToNrLine",16.28,26.4,Eire Carter,606945,16.08,1,,23/08/2022,868018,,Flat,T3,264.0,-20,16.27,388425,Monmore,,
600002,,,3,2 3/4,,"Rails,EveryChance",16.45,26.5,Sunset Diamond,600402,16.20,1,,15/08/2022,865540,,Flat,T3,264.0,-25,16.14,388201,Monmore,,
600002,,,0,,,,,,,,,2,,08/08/2022,864092,,Flat,T,264.0,,,387968,Monmore,,
600002,,,1,,,Rails,16.89,26.6,,,16.74,3,,29/07/2022,861811,,Flat,T1,264.0,-15,16.89,387652,Monmore,,
600002,,,0,,,Green,,25.3,,,,0,,25/01/2022,810916,,Flat,T1,264.0,-10,,381616,Monmore,,
600002,,,0,,,,,,,,,3,,25/01/2022,810916,,Flat,T1,264.0,-10,,381616,Monmore,,
600003,,6/1,4,6 1/2,16.70,"Mid,SnLd-Crd3",42.73,26.6,Decoy Josefina,619448,42.73,4,21:33:00,11/03/2023,921107,,Flat,S2,659.0,0,41.63,394904,Yarmouth,,
600003,,8/1,1,,05.48,"Mid,RanOn",28.71,26.5,Swift Absolute,548783,28.71,5,21:14:00,04/03/2023,918859,,Flat,A3,462.0,0,28.71,394604,Yarmouth,,
600003,,16/1,5,1/2,05.46,"Mid-W,Crd 1/4",28.80,26.9,Freedom Special,599644,28.90,5,20:36:00,08/02/2023,912309,,Flat,A3,462.0,10,28.38,393875,Yarmouth,,
600003,,16/1,6,3 3/4,05.38,"QAwMid-W,BBlk 1/4",29.25,26.5,Move Over Syd,622606,29.25,5,20:52:00,01/02/2023,910459,,Flat,A3,462.0,0,28.38,393644,Yarmouth,,
600003,,9/1,6,1 3/4,05.52,"Mid,BBlk1",29.41,26.7,Kereight Sal,591322,29.31,5,19:58:00,23/01/2023,907425,,Flat,A3,462.0,-10,28.62,393317,Yarmouth,,
600003,,12/1,6,1 1/4,05.36,"Mid-W,BCrd-1&1",29.45,26.4,Glengar Magpie,581871,29.45,5,19:51:00,11/01/2023,904780,,Flat,A1,462.0,0,28.27,392970,Yarmouth,,
600003,,10/1,5,1,05.52,"Mid-W,Crd3",28.63,26.5,Deadly Tornado,546374,28.63,5,19:16:00,04/01/2023,902742,,Flat,A1,462.0,0,28.22,392721,Yarmouth,,
600003,,3/1,1,,05.36,"Mid,ALd",28.15,26.2,Decoy Fabio,619447,28.15,4,20:21:00,28/12/2022,900769,,Flat,A4,462.0,0,28.15,392497,Yarmouth,,
600003,,3/1,3,2 1/4,05.40,Mid-W,28.60,26.5,Lolas Company,589275,28.60,5,21:26:00,21/12/2022,899586,,Flat,A4,462.0,0,28.31,392375,Yarmouth,,
600003,,9/1,4,1,05.53,Mid-W,28.47,26.7,Newinn Mover,605907,28.57,5,21:11:00,14/12/2022,898002,,Flat,A3,462.0,10,27.92,392179,Yarmouth,,
600003,,7/2,1,,05.48,"Mid-W,Ld-Crd1&Fr3",28.41,26.6,Salems Legend,539816,28.41,5,21:01:00,05/12/2022,895505,,Flat,A5,462.0,0,28.41,391852,Yarmouth,,
600003,,6/1,5,1,05.59,Mid-WCrd3,28.93,26.6,Oh Danang,605883,28.93,5,20:27:00,28/11/2022,893742,,Flat,A5,462.0,0,28.19,391614,Yarmouth,,
600003,,11/2,4,2,05.43,"QAwMid-W,Blk1",29.66,26.5,Move Over Syd,622606,29.06,5,19:58:00,21/11/2022,891871,,Flat,A5,462.0,-60,29.09,391353,Yarmouth,,
600003,,4/1,5,1,05.57,"Mid-W,Crd 1/4",28.96,27.0,Jogon Moonlight,548531,29.06,4,20:12:00,14/11/2022,889839,,Flat,A5,462.0,10,28.49,391157,Yarmouth,,
600003,,,1,,05.41,Mid,28.70,27.2,,,28.70,3,,07/11/2022,888815,,Flat,T1,462.0,0,28.70,390971,Yarmouth,,
600003,,6/1,5,3/4,05.46,Mid-WCrd1,28.87,27.3,Lavan Boy,550697,29.07,5,19:09:00,10/10/2022,880072,,Flat,A4,462.0,20,28.20,389944,Yarmouth,,
600003,,,1,,05.54,Mid,28.48,27.4,,,28.58,3,,03/10/2022,879124,,Flat,T1,462.0,10,28.48,389688,Yarmouth,,
600003,,,1,,,Mid-W,16.74,27.4,,,16.74,3,,26/09/2022,877176,,Flat,T1,277.0,0,16.74,389429,Yarmouth,,
600003,,,0,,,(Handslip),,27.6,,,,0,,17/09/2022,874843,,Flat,T1,224.0,,,389170,Yarmouth,,
600003,,11/4,4,2 3/4,05.60,"Wide,Crd1",28.79,26.2,Fahrenheit Loki,525526,28.89,5,21:26:00,11/05/2022,840122,,Flat,A5,462.0,10,28.44,385040,Yarmouth,,
600003,,11/4,3,1,05.50,"Mid-W,RanOn",28.55,26.8,Jumbos Mistake,588724,28.75,5,18:41:00,04/05/2022,838107,,Flat,A4,462.0,20,28.33,384788,Yarmouth,,
600003,,2/1,5,2,05.53,"Mid-W,BCrd 1/4,Crd3",29.48,26.9,Moors Vienna,545380,29.48,5,18:41:00,27/04/2022,836112,,Flat,A4,462.0,0,28.56,384563,Yarmouth,,
600003,,5/2,3,3,05.46,Mid-W,28.68,26.9,Fahrenheit Jimmy,524693,28.78,5,19:34:00,20/04/2022,834280,,Flat,A4,462.0,10,28.36,384353,Yarmouth,,
600003,,7/2,6,NK,05.46,"Mid-WCrdStt,BCrd1",29.25,26.7,Blunder Woman,550623,29.25,5,20:27:00,11/04/2022,831427,,Flat,A4,462.0,0,29.07,384027,Yarmouth,,
600003,,5/4F,1,,05.37,"Mid-W,ALd",28.50,26.8,Kereight Sal,591322,28.60,3,20:27:00,04/04/2022,829545,,Flat,A5,462.0,10,28.50,383750,Yarmouth,,
600003,,11/8F,1,,05.48,"MidCrd1,Ld3",28.97,26.4,Slippy Diana,589114,28.87,4,18:59:00,26/03/2022,826865,,Flat,A6,462.0,-10,28.97,383450,Yarmouth,,
600003,,4/6F,1,,05.43,"Mid,Ld 1/2",28.78,26.4,Jura Go Zoe,493307,28.88,4,16:14:00,21/03/2022,825513,,Flat,A6,462.0,10,28.78,383325,Yarmouth,,
600003,,,1,,,Middle,17.02,26.6,,,17.12,3,,14/03/2022,824514,,Flat,T1,277.0,10,17.02,383130,Yarmouth,,
600003,,15/8F,6,DIS,05.45,"Mid,Blk&Fll2",,26.5,Brosna Zipperer,533842,,4,17:52:00,28/02/2022,819541,,Flat,A6,462.0,0,29.11,382597,Yarmouth,,
600003,,11/2,2,2 1/2,05.41,"Mid,BmpStt,Crd 1/2",29.20,26.7,Taylors Special,540582,29.20,5,19:16:00,23/02/2022,818206,,Flat,A6,462.0,0,29.00,382484,Yarmouth,,
600003,,,1,3/4,05.52,"Mid-W,Ld2",29.17,27.1,Walkabout Sky,542085,29.17,4,,16/02/2022,817278,,Flat,T3,462.0,0,29.17,382297,Yarmouth,,
600003,,,2,SH,05.57,"Mid,SnLd-NrLine",29.34,26.7,Walkabout Sky,542085,29.24,3,,12/02/2022,816123,,Flat,T3,462.0,-10,29.33,382167,Yarmouth,,
600003,,,1,,05.56,Mid,29.61,26.7,,,29.61,3,,31/01/2022,812708,,Flat,T1,462.0,0,29.61,381729,Yarmouth,,
600004,,7/4,6,DNF,05.27,Ck2,,27.8,Up The Palace,621840,,1,12:21:00,02/08/2023,960057,,Flat,A4,500.0,40,30.43,399877,Nottingham,,
600004,,4/1,1,,05.19,"SnLd,Rls",30.64,28.3,Millroad Zara,550652,30.74,1,11:06:00,13/07/2023,954931,,Flat,A4,500.0,10,30.64,399203,Nottingham,,
600004,,7/4,2,7 1/2,05.10,Crd1&2&RunIn,31.39,28.6,Burghead Hannah,551786,31.49,1,11:51:00,05/07/2023,952436,,Flat,A4,500.0,10,30.79,398863,Nottingham,,
600004,,9/1,6,4,05.19,Crd2,30.93,28.0,Cushie Maestro,583003,31.23,4,11:06:00,29/06/2023,951059,,Flat,A3,500.0,30,30.39,398714,Nottingham,,
600004,,7/2,2,2 1/2,05.13,"ClrRun,Rls",30.39,28.2,Monkstown Avenue,624623,30.99,1,19:41:00,23/06/2023,949213,,Flat,A4,500.0,60,30.19,398478,Nottingham,,
600004,,13/8F,2,1 3/4,05.08,"ClrRun,Rls",30.59,27.5,Unique Myth,600013,30.99,1,12:06:00,15/06/2023,947421,,Flat,A4,500.0,40,30.45,398237,Nottingham,,
600004,,9/4,6,2,05.24,Crd2,30.99,27.8,Da Bomber,589066,31.39,1,13:51:00,07/06/2023,944887,,Flat,A4,500.0,40,30.64,397921,Nottingham,,
600004,,7/2,4,3/4,05.01,Crd2,30.57,28.6,Plaza Keano,624529,31.07,1,13:36:00,31/05/2023,942957,,Flat,A4,500.0,50,30.43,397686,Nottingham,,
600004,,7/1,5,SH,05.19,Crd1&3&4,31.31,28.2,Aslan,599969,31.81,1,11:51:00,24/05/2023,940903,,Flat,A3,500.0,50,30.62,397454,Nottingham,,
600004,,8/1,5,3 1/4,05.13,CrdRunIn,30.66,28.1,Main Event,619239,31.36,1,12:36:00,17/05/2023,938889,,Flat,A3,500.0,70,30.12,397212,Nottingham,,
600004,,8/1,6,1 1/2,05.17,"ClrRun,Rls",30.97,27.3,Nelsons County,549162,31.07,1,13:06:00,04/05/2023,935550,,Flat,A3,500.0,10,30.70,396752,Nottingham,,
600004,,2/1F,3,1 1/2,05.12,"Ld-2,Crd3",30.82,28.1,Ferndale Nidge,534359,31.12,1,13:06:00,20/04/2023,931879,,Flat,A3,500.0,30,30.69,396283,Nottingham,,
600004,,9/4,3,1/2,05.36,"DispLdFr3,Rls",30.95,28.5,Aslan,599969,31.15,1,13:51:00,12/04/2023,929302,,Flat,A3,500.0,20,30.87,395940,Nottingham,,
600004,,9/4F,1,,05.10,"Ld2,Rls",30.13,28.1,Kilgarran Bid,604512,30.63,1,12:06:00,29/03/2023,925488,,Flat,A4,500.0,50,30.13,395451,Nottingham,,
600004,,7/2,3,SH,05.26,Crd1,30.69,28.3,Maizies Smile,587769,30.99,1,13:51:00,15/03/2023,921617,,Flat,A4,500.0,30,30.46,394986,Nottingham,,
600004,,10/3,4,3 1/2,05.25,Chl&Crd3,30.79,28.0,Bohemian Queen,607590,31.29,1,20:27:00,03/03/2023,918236,,Flat,A4,500.0,50,30.37,394541,Nottingham,,
600004,,13/8F,1,,,,,,Drogo,599724,,1,13:51:00,23/02/2023,916369,,Flat,A5,500.0,40,,394324,Nottingham,,
600004,,9/4F,1,,05.26,"Crd1,Esd3,LdNrLn",31.38,28.2,Dance Gabriella,620093,31.38,1,11:06:00,16/02/2023,914109,,Flat,A5,500.0,0,31.38,394098,Nottingham,,
600004,,5/1,3,NK,05.20,"Chl&Crd3,DispLdFr4-RunIn",31.08,28.2,Blue Mariner,593083,31.48,1,11:21:00,09/02/2023,912337,,Flat,A5,500.0,40,31.03,393879,Nottingham,,
600004,,,2,5 3/4,05.30,Crd2,31.87,28.4,Deadly Getaway,621966,31.77,1,,01/02/2023,910910,,Flat,T3,500.0,-10,31.41,393613,Nottingham,,
600004,,,1,4,,"ALd,Rls",18.22,27.7,Headford Malt,585754,18.32,2,,26/01/2023,909333,,Flat,T3,305.0,10,18.22,393408,Nottingham,,
600004,,,1,,,Rls,18.55,28.2,,,18.65,1,,07/12/2022,896829,,Flat,T1,305.0,10,18.55,391937,Nottingham,,
600004,,9/1,6,2 1/2,,"SAw,ClrRun,Rls",31.26,27.8,Kranky Don,286467,31.90,4,20:12:00,21/10/2022,882883,,Flat,HP,500.0,40,30.50,390285,Nottingham,,
600004,,,1,,,Rls,18.45,27.2,,,18.55,2,,06/10/2022,879840,,Flat,T1,305.0,10,18.45,389771,Nottingham,,
600004,,6/1,4,1 1/2,,"Crd1,(HndTm)",31.22,27.8,Piercestown Gift,550959,31.52,5,11:51:00,31/08/2022,868963,,Flat,HP,500.0,30,30.68,388574,Nottingham,,
600004,,4/1,5,1,,"Esd1,CrdRunIn",31.69,28.2,Millroad Lady,550653,31.89,6,13:21:00,24/08/2022,866950,,Flat,HP,500.0,20,31.31,388341,Nottingham,,
600004,,2/1F,3,1 1/4,,"Esd1,Crd4",31.34,27.6,Swift Rylee,512853,31.54,5,13:06:00,03/08/2022,861761,,Flat,HP,500.0,20,30.90,387667,Nottingham,,
600004,,,1,,05.19,Rls,30.94,27.7,,,31.04,2,,21/07/2022,859389,,Flat,T1,500.0,10,30.94,387323,Nottingham,,
600004,,,1,,05.16,"Rls,CkSgh",30.75,28.0,,,31.05,2,,06/07/2022,856022,,Flat,T1,500.0,30,30.75,386836,Nottingham,,
600004,,,1,,,Rls,18.36,28.2,,,18.36,2,,29/06/2022,854086,,Flat,T1,305.0,0,18.36,386620,Nottingham,,
600004,,9/2,6,6 3/4,05.12,Esd&Blk1,31.38,27.6,Headford Malt,585754,31.78,1,12:36:00,26/05/2022,843872,,Flat,A3,500.0,40,30.67,385491,Nottingham,,
600004,,,1,6 1/2,,"ALd,Rls",18.36,27.8,Himbos Crystal,585009,18.36,2,,19/05/2022,842851,,Flat,T2,305.0,0,18.36,385256,Nottingham,,
600004,,9/2,5,8,05.11,BBlk1,31.95,27.4,Kirkfields Jazz,587367,32.05,2,12:36:00,21/04/2022,834125,,Flat,A3,500.0,10,30.55,384335,Nottingham,,
600004,,2/1,1,,05.07,"EP,ALd,Rls-Mid",30.66,27.7,Ballybough Gary,519446,30.86,2,12:06:00,13/04/2022,831595,,Flat,A4,500.0,20,30.66,384043,Nottingham,,
600004,,2/1JF,6,2 3/4,05.25,Crd1,31.52,27.6,Mustang Vega,588644,31.82,2,13:06:00,06/04/2022,829665,,Flat,A4,500.0,30,30.72,383800,Nottingham,,
600004,,15/8,3,6,05.13,Crd2,31.11,28.0,Ballyhoe Blaze,549739,31.31,2,11:51:00,31/03/2022,828281,,Flat,A4,500.0,20,30.45,383623,Nottingham,,
600004,,11/2,2,SH,05.04,"EP,Ld1-NrLn,Rls-Mid",30.40,27.8,Millroad Heidi,592191,30.80,2,12:36:00,24/03/2022,826282,,Flat,A4,500.0,40,30.39,383399,Nottingham,,
600004,,,1,7 1/4,05.16,"ALd,Rls-Mid",31.12,28.1,Ballygur Laura,552170,30.92,4,,18/03/2022,825901,,Flat,T3,500.0,-20,31.12,383336,Nottingham,,
600004,,,3,1/2,,"EP,Ld1-Sgh,BCk",31.67,27.5,Swift Zidane,600457,31.67,3,,09/03/2022,822970,,Flat,T3,500.0,0,31.41,382964,Nottingham,,
600004,,,1,6 3/4,,"ALd,Rls-Mid",18.69,27.5,Honour Tipperary,593799,18.69,2,,03/03/2022,821319,,Flat,T3,305.0,0,18.69,382712,Nottingham,,
600004,,,1,,,"Rls-Mid,(HndTm)",19.53,,,,19.53,2,,16/02/2022,816942,,Flat,T1,305.0,0,19.53,382280,Nottingham,,
600004,,,2,HD,,"DispLdTh'out,(HndTm)",19.12,27.5,Harwell Roman,551738,19.12,1,,10/02/2022,815523,,Flat,T2,305.0,0,19.10,382049,Nottingham,,
600004,,,1,,,Rls,19.23,27.6,,,19.43,2,,03/02/2022,813554,,Flat,T1,305.0,20,19.23,381926,Nottingham,,
600004,,,1,,,"VSAw,Rls-Mid",19.58,27.6,,,19.68,2,,27/01/2022,811700,,Flat,T1,305.0,10,19.58,381620,Nottingham,,
600005,,,1,,,"Esd1,CkRunIn",15.88,33.8,,,15.98,4,,15/03/2023,922812,,Flat,T1,255.0,10,15.88,395048,Nottingham,,
600005,,,1,,05.15,CkFr3,32.36,34.1,,,33.06,4,,19/12/2022,899856,,Flat,T1,500.0,70,32.36,392333,Nottingham,,
600005,,,1,,,"Mid-Rls,(HndTm)",18.41,34.2,,,18.61,4,,14/12/2022,898440,,Flat,T1,305.0,20,18.41,392164,Nottingham,,
600005,,,1,,,Mid-Rls,15.39,34.1,,,15.49,4,,07/12/2022,896830,,Flat,T1,255.0,10,15.39,391937,Nottingham,,
600005,,10/1,6,1 1/2,05.21,Crd3,31.08,33.7,Bencic,600243,31.38,4,19:41:00,07/10/2022,878872,,Flat,A3,500.0,30,30.23,389773,Nottingham,,
600005,,,2,2 1/2,,"ClrRun,Mid",18.46,33.6,Magical Cora,604643,18.56,5,,22/09/2022,875861,,Flat,T2,305.0,10,18.26,389341,Nottingham,,
600005,,20/1,5,3,05.31,"SAw,Crd2",30.73,33.6,Lightfoot Clark,609642,31.03,4,20:21:00,22/08/2022,865753,,Flat,OR1,500.0,30,30.27,388223,Nottingham,,
600005,,18/1,3,3,05.16,Crd1,30.63,33.5,Shark Gun,609885,31.03,6,20:21:00,15/08/2022,865230,,Flat,OR1,500.0,40,30.27,388173,Nottingham,,
600005,,3/1,5,SH,05.15,Crd3,30.58,33.3,Orange Aoife,609716,31.08,3,19:34:00,08/08/2022,863465,,Flat,OR,500.0,50,29.97,387921,Nottingham,,
600005,,9/2,2,1/2,05.13,Crd2,30.69,33.2,Crokers Brandy,608997,30.99,4,19:51:00,01/08/2022,861746,,Flat,OR,500.0,30,30.65,387666,Nottingham,,
600005,,12/1,6,1,05.09,Blk1,30.89,33.0,Farneys Trend,610656,31.09,5,19:34:00,25/07/2022,859861,,Flat,OR3,500.0,20,30.52,387457,Nottingham,,
600005,,9/2,5,2,05.21,"SAw,Crd1&2",30.88,32.8,Mucho Macho Jack,554790,31.28,5,19:41:00,15/07/2022,857293,,Flat,A2,500.0,40,30.32,387130,Nottingham,,
600005,,10/3,1,,05.09,"Ld3,Mid",30.39,33.2,Ellies Mask,600754,30.69,5,19:26:00,08/07/2022,855413,,Flat,A3,500.0,30,30.39,386841,Nottingham,,
600005,,4/1,5,3 1/2,05.44,"SAw,Crd2&3",31.00,34.0,Gleam Of Love,594133,31.30,5,19:58:00,01/07/2022,853524,,Flat,A3,500.0,30,30.33,386626,Nottingham,,
600005,,5/2JF,1,,05.25,"Ld2,Mid",30.12,34.4,Clonkeen Tipp,589550,30.62,4,19:41:00,24/06/2022,851618,,Flat,A4,500.0,50,30.12,386414,Nottingham,,
600005,,5/2,3,1/2,05.26,"SAw,Crd3",30.75,34.2,Shockwave Taboo,602403,31.15,4,19:09:00,17/06/2022,849671,,Flat,A4,500.0,40,30.68,386193,Nottingham,,
600005,,5/2F,2,5,05.22,Crd2,30.99,34.0,High St Bandit,585567,31.19,5,19:58:00,10/06/2022,847675,,Flat,A4,500.0,20,30.59,385961,Nottingham,,
600005,,6/4F,5,1/2,05.29,"SAw,Crd2",30.94,33.2,Swift Lockjaw,529157,31.24,4,19:58:00,03/06/2022,845778,,Flat,A4,500.0,30,30.74,385691,Nottingham,,
